YOTROQ_clean_primitive, Anchors list: {172, 173}, SBU connectlist: {2} set to be ligand
YOTROQ_clean_primitive, Anchors list: {178, 179}, SBU connectlist: {1} set to be ligand
YOTROQ_clean_primitive, Anchors list: {169, 171}, SBU connectlist: {3} set to be ligand
YOTROQ_clean_primitive, Anchors list: {177, 175}, SBU connectlist: {0} set to be ligand
YOTROQ_clean_primitive, Anchors list: {172, 173}, SBU connectlist: {2} set to be ligand
YOTROQ_clean_primitive, Anchors list: {178, 179}, SBU connectlist: {1} set to be ligand
YOTROQ_clean_primitive, Anchors list: {176, 179}, SBU connectlist: {1} set to be ligand
YOTROQ_clean_primitive, Anchors list: {170, 173}, SBU connectlist: {2} set to be ligand
YOTROQ_clean_primitive, Anchors list: {169, 171}, SBU connectlist: {3} set to be ligand
YOTROQ_clean_primitive, Anchors list: {177, 175}, SBU connectlist: {0} set to be ligand
YOTROQ_clean_primitive, Anchors list: {170, 173}, SBU connectlist: {2} set to be ligand
YOTROQ_clean_primitive, Anchors list: {176, 179}, SBU connectlist: {1} set to be ligand
YOTROQ_clean_primitive, Anchors list: {168, 171}, SBU connectlist: {3} set to be ligand
YOTROQ_clean_primitive, Anchors list: {177, 174}, SBU connectlist: {0} set to be ligand
YOTROQ_clean_primitive, Anchors list: {170, 172}, SBU connectlist: {2} set to be ligand
YOTROQ_clean_primitive, Anchors list: {176, 178}, SBU connectlist: {1} set to be ligand
YOTROQ_clean_primitive, Anchors list: {177, 174}, SBU connectlist: {0} set to be ligand
YOTROQ_clean_primitive, Anchors list: {168, 171}, SBU connectlist: {3} set to be ligand
YOTROQ_clean_primitive, Anchors list: {168, 169}, SBU connectlist: {3} set to be ligand
YOTROQ_clean_primitive, Anchors list: {174, 175}, SBU connectlist: {0} set to be ligand
YOTROQ_clean_primitive, Anchors list: {170, 172}, SBU connectlist: {2} set to be ligand
YOTROQ_clean_primitive, Anchors list: {176, 178}, SBU connectlist: {1} set to be ligand
YOTROQ_clean_primitive, Anchors list: {168, 169}, SBU connectlist: {3} set to be ligand
YOTROQ_clean_primitive, Anchors list: {174, 175}, SBU connectlist: {0} set to be ligand
