f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
118.7144,219.096,337.32040000000006,385.38699999999994,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.4224,16.262400000000003,23.044800000000002,24.679399999999994,YUKBIR
177.08939999999998,355.01100000000014,557.1304000000001,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000004,26.842200000000012,39.46120000000001,45.108399999999996,YUKBIR
177.0894,355.011,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.84220000000001,39.461200000000005,45.10840000000001,YUKBIR
819.1641000000014,1896.0989999999967,3665.445599999999,4957.532999999995,2514.0,6126.0,9642.0,11898.0,141.0,312.0,630.0,870.0,996.0,2910.0,4242.0,4782.0,47.670899999999975,130.13519999999983,221.2374000000001,286.6278,YUKBIR
819.1641000000014,1896.0989999999967,3665.445599999999,4957.532999999995,2514.0,6126.0,9642.0,11898.0,141.0,312.0,630.0,870.0,996.0,2910.0,4242.0,4782.0,47.670899999999975,130.13519999999983,221.2374000000001,286.6278,YUKBIR
819.1641000000016,1896.0989999999967,3665.445599999999,4957.532999999994,2514.0,6126.0,9642.0,11898.0,141.0,312.0,630.0,870.0,996.0,2910.0,4242.0,4782.0,47.670899999999975,130.13519999999983,221.23740000000012,286.6278,YUKBIR
819.1641000000016,1896.0989999999967,3665.445599999999,4957.532999999994,2514.0,6126.0,9642.0,11898.0,141.0,312.0,630.0,870.0,996.0,2910.0,4242.0,4782.0,47.670899999999975,130.13519999999983,221.23740000000012,286.6278,YUKBIR
118.7144,219.096,337.3204,385.387,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.4224,16.262400000000003,23.044800000000002,24.679399999999994,YUKBIR
118.7144,219.096,337.3204,385.38699999999994,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.4224,16.262400000000003,23.0448,24.679399999999994,YUKBIR
177.0894,355.011,557.1304000000001,682.4419999999998,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000002,26.84220000000001,39.46120000000001,45.1084,YUKBIR
819.1641000000016,1896.0989999999972,3665.445599999999,4957.532999999994,2514.0,6126.0,9642.0,11898.0,141.0,312.0,630.0,870.0,996.0,2910.0,4242.0,4782.0,47.67089999999998,130.1351999999998,221.23740000000012,286.62780000000004,YUKBIR
819.1641000000016,1896.0989999999972,3665.445599999999,4957.532999999994,2514.0,6126.0,9642.0,11898.0,141.0,312.0,630.0,870.0,996.0,2910.0,4242.0,4782.0,47.67089999999998,130.1351999999998,221.2374000000001,286.6278,YUKBIR
819.1641000000016,1896.0989999999972,3665.445599999999,4957.532999999994,2514.0,6126.0,9642.0,11898.0,141.0,312.0,630.0,870.0,996.0,2910.0,4242.0,4782.0,47.67089999999998,130.1351999999998,221.2374000000001,286.6278,YUKBIR
819.1641000000016,1896.0989999999972,3665.445599999999,4957.532999999994,2514.0,6126.0,9642.0,11898.0,141.0,312.0,630.0,870.0,996.0,2910.0,4242.0,4782.0,47.67089999999998,130.1351999999998,221.2374000000001,286.6278,YUKBIR
