ZEZFIV_clean_primitive, Anchors list: {127, 15}, SBU connectlist: {17, 31}
ZEZFIV_clean_primitive, Anchors list: {8, 9}, SBU connectlist: {8, 9}
ZEZFIV_clean_primitive, Anchors list: {10, 94}, SBU connectlist: {10, 30}
ZEZFIV_clean_primitive, Anchors list: {0, 1}, SBU connectlist: {0, 1}
ZEZFIV_clean_primitive, Anchors list: {4, 5}, SBU connectlist: {4, 5}
ZEZFIV_clean_primitive, Anchors list: {12, 13}, SBU connectlist: {12, 15}
ZEZFIV_clean_primitive, Anchors list: {12, 13}, SBU connectlist: {12, 15}
ZEZFIV_clean_primitive, Anchors list: {6, 7}, SBU connectlist: {6, 7}
ZEZFIV_clean_primitive, Anchors list: {14, 15}, SBU connectlist: {16, 17}
ZEZFIV_clean_primitive, Anchors list: {57, 5}, SBU connectlist: {29, 5}
ZEZFIV_clean_primitive, Anchors list: {109, 13}, SBU connectlist: {19, 15}
ZEZFIV_clean_primitive, Anchors list: {4, 5}, SBU connectlist: {4, 5}
ZEZFIV_clean_primitive, Anchors list: {0, 1}, SBU connectlist: {0, 1}
ZEZFIV_clean_primitive, Anchors list: {2, 42}, SBU connectlist: {2, 18}
ZEZFIV_clean_primitive, Anchors list: {8, 9}, SBU connectlist: {8, 9}
ZEZFIV_clean_primitive, Anchors list: {2, 3}, SBU connectlist: {2, 3}
ZEZFIV_clean_primitive, Anchors list: {2, 3}, SBU connectlist: {2, 3}
ZEZFIV_clean_primitive, Anchors list: {10, 11}, SBU connectlist: {10, 11}
ZEZFIV_clean_primitive, Anchors list: {10, 11}, SBU connectlist: {10, 11}
ZEZFIV_clean_primitive, Anchors list: {14, 15}, SBU connectlist: {16, 17}
ZEZFIV_clean_primitive, Anchors list: {6, 7}, SBU connectlist: {6, 7}
ZEZFIV_clean_primitive, Anchors list: {8, 76}, SBU connectlist: {8, 14}
ZEZFIV_clean_primitive, Anchors list: {75, 7}, SBU connectlist: {13, 7}
ZEZFIV_clean_primitive, Anchors list: {0, 24}, SBU connectlist: {0, 28}
