lc-chi-0,lc-chi-1,lc-chi-2,lc-chi-3,lc-Z-0,lc-Z-1,lc-Z-2,lc-Z-3,lc-I-0,lc-I-1,lc-I-2,lc-I-3,lc-T-0,lc-T-1,lc-T-2,lc-T-3,lc-S-0,lc-S-1,lc-S-2,lc-S-3,lc-alpha-0,lc-alpha-1,lc-alpha-2,lc-alpha-3,D_lc-chi-0,D_lc-chi-1,D_lc-chi-2,D_lc-chi-3,D_lc-Z-0,D_lc-Z-1,D_lc-Z-2,D_lc-Z-3,D_lc-I-0,D_lc-I-1,D_lc-I-2,D_lc-I-3,D_lc-T-0,D_lc-T-1,D_lc-T-2,D_lc-T-3,D_lc-S-0,D_lc-S-1,D_lc-S-2,D_lc-S-3,D_lc-alpha-0,D_lc-alpha-1,D_lc-alpha-2,D_lc-alpha-3,func-chi-0,func-chi-1,func-chi-2,func-chi-3,func-Z-0,func-Z-1,func-Z-2,func-Z-3,func-I-0,func-I-1,func-I-2,func-I-3,func-T-0,func-T-1,func-T-2,func-T-3,func-S-0,func-S-1,func-S-2,func-S-3,func-alpha-0,func-alpha-1,func-alpha-2,func-alpha-3,D_func-chi-0,D_func-chi-1,D_func-chi-2,D_func-chi-3,D_func-Z-0,D_func-Z-1,D_func-Z-2,D_func-Z-3,D_func-I-0,D_func-I-1,D_func-I-2,D_func-I-3,D_func-T-0,D_func-T-1,D_func-T-2,D_func-T-3,D_func-S-0,D_func-S-1,D_func-S-2,D_func-S-3,D_func-alpha-0,D_func-alpha-1,D_func-alpha-2,D_func-alpha-3,name
9.2416,15.504,42.25600000000001,35.99360000000001,49.0,84.0,112.0,77.0,1.0,2.0,6.0,5.0,4.0,16.0,24.0,16.0,0.5625,1.155,2.265,1.6724999999999999,54.760000000000005,167.24,300.650456,188.170456,0.0,0.9800000000000004,4.34,3.3599999999999994,0.0,2.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,2.0,0.0,-0.040000000000000036,1.48,1.52,0.0,-7.800000000000001,3.771560000000001,11.571560000000002,9.2416,28.88,42.25600000000001,35.9936,49.0,98.0,112.0,77.0,1.0,4.0,6.0,5.0,16.0,40.0,48.0,24.0,0.5625,1.71,2.2649999999999997,1.6724999999999999,54.760000000000005,233.94522800000001,300.6504560000001,188.170456,0.0,2.66,4.34,3.3599999999999994,0.0,14.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,14.0,0.0,0.72,1.48,1.52,0.0,-2.01422,3.771560000000001,11.571560000000002,Zn6_IDC_4_OH_2_HPRZ_2
10.5376,12.137999999999998,26.019599999999997,23.9484,56.5,66.0,126.0,129.0,1.0,1.5,3.0,2.5,2.5,7.5,11.0,7.5,0.5477,0.85855,1.545,1.39105,41.425000000000004,113.565,171.66630700000002,130.585,0.0,0.9350000000000003,1.3550000000000004,0.4900000000000002,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.5,-1.0,0.0,-0.040000000000000036,0.14999999999999997,-0.020000000000000018,0.0,-6.9,-5.453555000000001,-3.9000000000000004,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,Zn6_IDC_4_OH_2_HPRZ_2
10.7968,11.464799999999999,24.936799999999998,23.00464,58.0,62.4,123.2,124.0,1.0,1.4,2.8,2.4,2.2,6.6,9.6,7.0,0.54474,0.7992600000000001,1.4549999999999998,1.33476,38.758,102.83,154.92904560000002,124.29,0.0,0.9260000000000002,1.262,0.6500000000000001,0.0,2.0,4.4,1.4,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6,-1.4,0.0,-0.040000000000000036,0.11199999999999996,-0.028000000000000025,0.0,-6.720000000000001,-5.562844,-4.74,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,Zn6_IDC_4_OH_2_HPRZ_2
10.7968,11.464799999999999,24.936799999999998,23.00464,58.0,62.4,123.2,124.0,1.0,1.4,2.8,2.4,2.2,6.6,9.6,7.0,0.54474,0.7992600000000001,1.4549999999999998,1.33476,38.758,102.83,154.92904560000002,124.29,0.0,0.9260000000000002,1.262,0.6500000000000001,0.0,2.0,4.4,1.4,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6,-1.4,0.0,-0.040000000000000036,0.11199999999999996,-0.028000000000000025,0.0,-6.720000000000001,-5.562844,-4.74,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,Zn6_IDC_4_OH_2_HPRZ_2
9.2416,15.504,42.25600000000001,35.99360000000001,49.0,84.0,112.0,77.0,1.0,2.0,6.0,5.0,4.0,16.0,24.0,16.0,0.5625,1.155,2.2649999999999997,1.6724999999999999,54.760000000000005,167.24,300.650456,188.170456,0.0,0.9800000000000004,4.34,3.3599999999999994,0.0,2.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,2.0,0.0,-0.040000000000000036,1.48,1.52,0.0,-7.800000000000001,3.771560000000001,11.571560000000002,9.2416,28.880000000000003,42.256,35.99360000000001,49.0,98.0,112.0,77.0,1.0,4.0,6.0,5.0,16.0,40.0,48.0,24.0,0.5625,1.71,2.2649999999999997,1.6724999999999999,54.760000000000005,233.94522800000004,300.650456,188.170456,0.0,2.66,4.34,3.3599999999999994,0.0,14.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,14.0,0.0,0.72,1.48,1.52,0.0,-2.01422,3.77156,11.571560000000002,Zn6_IDC_4_OH_2_HPRZ_2
10.5376,12.137999999999998,26.019599999999997,23.948399999999996,56.5,66.0,126.0,129.0,1.0,1.5,3.0,2.5,2.5,7.5,11.0,7.5,0.5477,0.8585500000000001,1.545,1.39105,41.425000000000004,113.565,171.66630700000002,130.585,0.0,0.9350000000000003,1.3550000000000002,0.4900000000000002,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.5,-1.0,0.0,-0.040000000000000036,0.14999999999999997,-0.020000000000000018,0.0,-6.9,-5.453555000000001,-3.9000000000000004,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,Zn6_IDC_4_OH_2_HPRZ_2
10.5376,12.137999999999998,26.019599999999997,23.948399999999996,56.5,66.0,126.0,129.0,1.0,1.5,3.0,2.5,2.5,7.5,11.0,7.5,0.5477,0.8585500000000001,1.545,1.39105,41.425000000000004,113.565,171.66630700000002,130.585,0.0,0.9350000000000003,1.3550000000000002,0.4900000000000002,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.5,-1.0,0.0,-0.040000000000000036,0.14999999999999997,-0.020000000000000018,0.0,-6.9,-5.453555000000001,-3.9000000000000004,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,Zn6_IDC_4_OH_2_HPRZ_2
10.7968,11.464799999999999,24.936799999999998,23.004640000000002,58.0,62.4,123.2,124.0,1.0,1.4,2.8,2.4,2.2,6.6,9.6,7.0,0.54474,0.7992600000000001,1.4549999999999998,1.33476,38.758,102.83,154.92904560000002,124.29,0.0,0.9260000000000002,1.2620000000000005,0.6500000000000001,0.0,2.0,4.4,1.4,0.0,0.0,0.0,0.0,0.0,-2.0,-1.6,-1.4,0.0,-0.040000000000000036,0.11199999999999996,-0.028000000000000025,0.0,-6.720000000000001,-5.562844,-4.74,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,Zn6_IDC_4_OH_2_HPRZ_2
9.2416,15.504,42.25600000000001,35.99360000000001,49.0,84.0,112.0,77.0,1.0,2.0,6.0,5.0,4.0,16.0,24.0,16.0,0.5625,1.155,2.2649999999999997,1.6724999999999999,54.760000000000005,167.24,300.6504560000001,188.170456,0.0,0.9800000000000004,4.34,3.3599999999999994,0.0,2.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,2.0,0.0,-0.040000000000000036,1.48,1.52,0.0,-7.800000000000001,3.771560000000001,11.571560000000002,9.2416,28.880000000000003,42.25600000000001,35.99360000000001,49.0,98.0,112.0,77.0,1.0,4.0,6.0,5.0,16.0,40.0,48.0,24.0,0.5625,1.71,2.265,1.6724999999999999,54.760000000000005,233.94522800000004,300.650456,188.170456,0.0,2.66,4.34,3.3599999999999994,0.0,14.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,14.0,0.0,0.72,1.48,1.52,0.0,-2.01422,3.771560000000001,11.571560000000002,Zn6_IDC_4_OH_2_HPRZ_2
9.2416,15.504,42.25600000000001,35.99360000000001,49.0,84.0,112.0,77.0,1.0,2.0,6.0,5.0,4.0,16.0,24.0,16.0,0.5625,1.155,2.265,1.6724999999999999,54.760000000000005,167.24,300.650456,188.170456,0.0,0.9800000000000004,4.34,3.3599999999999994,0.0,2.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,2.0,0.0,-0.040000000000000036,1.48,1.52,0.0,-7.800000000000001,3.771560000000001,11.571560000000002,9.2416,28.880000000000003,42.25600000000001,35.9936,49.0,98.0,112.0,77.0,1.0,4.0,6.0,5.0,16.0,40.0,48.0,24.0,0.5625,1.71,2.265,1.6724999999999999,54.760000000000005,233.94522800000004,300.650456,188.170456,0.0,2.66,4.34,3.3599999999999994,0.0,14.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,14.0,0.0,0.72,1.48,1.52,0.0,-2.01422,3.771560000000001,11.571560000000002,Zn6_IDC_4_OH_2_HPRZ_2
